Fe,Co,Cr,Mo,Mn,Nb,Sn,Ni,Zr,Cu,Al,LREE,Pb,Ti,HREE,Be,Mg,C,B,P,G(Gpa)
0,0,0,0,0,0,0,0,45,45,7,0,0,0,3,0,0,0,0,0,32.4
0,0,0,0,0,0,0,0,46,45,9,0,0,0,0,0,0,0,0,0,34.9
0,0,0,0,0,0,0,0,42,46,7,0,0,0,5,0,0,0,0,0,29.1
0,0,0,0,0,0,0,0,44,46,7,0,0,0,3,0,0,0,0,0,32
0,0,0,0,0,0,0,5.6,13,50.4,0,0,0,31,0,0,0,0,0,0,37.4
0,0,0,0,0,0,0,0,45,50,5,0,0,0,0,0,0,0,0,0,33.3
0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,31.3
0,0,0,0,0,0,0,0,41,51,0,0,0,8,0,0,0,0,0,0,31.9
0,0,0,0,0,0,1,0,29,60,0,0,0,10,0,0,0,0,0,0,36.6
0,0,0,0,0,0,0,0,33,60,0,0,0,7,0,0,0,0,0,0,34.9
2,18,0,0,0,0,0,0,0,0,24,0,0,0,56,0,0,0,0,0,24.4
0,20,0,0,0,0,0,0,0,0,25,0,0,0,55,0,0,0,0,0,23.5
0,20,0,0,0,0,0,0,0,0,24,0,0,0,56,0,0,0,0,0,26.6
0,20,0,0,0,0,0,0,0,0,24,0,0,0,56,0,0,0,0,0,27
0,20,0,0,0,0,0,0,0,0,25,0,0,0,55,0,0,0,0,0,27.1
35.5,0,0,0,0,6,0,35.5,0,0,0,0,0,0,0,0,0,0,23,0,64.9
41,7,15,14,0,0,0,0,0,0,0,0,0,0,2,0,0,15,6,0,84.1
48,0,15,14,0,0,0,0,0,0,0,0,0,0,2,0,0,15,6,0,81
48,0,15,14,0,0,0,0,0,0,0,0,0,0,2,0,0,15,6,0,85.8
49,0,15,14,0,0,0,0,0,0,0,0,0,0,1,0,0,13,8,0,82.5
49,0,15,14,0,0,0,0,0,0,0,0,0,0,1,0,0,15,6,0,81.9
49,0,15,14,0,0,0,0,0,0,0,0,0,0,1,0,0,17,4,0,80.8
49,0,15,14,0,0,0,0,0,0,0,0,0,0,1,0,0,18,3,0,80.2
49,0,15,14,0,0,0,0,0,0,0,0,0,0,1,0,0,19,2,0,78.9
50,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,82
50,0,4,14,10,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,76.1
53.25,0,0,0,0,6,0,17.75,0,0,0,0,0,0,0,0,0,0,23,0,73.4
59,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,77.4
