,ry,Kc,Gc,q,E,G,K,K/G,v,Gbas,Kbas,vbas
(La0.7Ce0.3)68Al10Cu20Co2,…,…,…,6.42,31.4,11.6,35.3,3.040,0.352,14,28,0.28
(La0.5Ce0.5)68Al10Cu20Co2,…,…,…,6.49,31.3,11.6,34.3,2.957,0.348,14,28,0.28
Ce70Al10Ni10Cu10,0.4,10,3,6.67,30.3,11.5,27.0,2.348,0.313,14,22,0.24
Ce69.8Al10Cu20Co0.2,…,…,…,6.73,30.8,11.5,31.2,2.713,0.335,14,22,0.24
Ce70Al10Cu20,…,…,…,6.70,29.9,11.3,29.2,2.584,0.329,14,22,0.24
(La0.8Ce0.2)68Al10Cu20Co2,…,…,…,6.33,30.7,11.3,35.1,3.095,0.354,14,28,0.28
(La0.9Ce0.1)68Al10Cu20Co2,…,…,…,6.30,30.4,11.2,35.8,3.199,0.358,14,28,0.28
(La0.6Ce0.4)68Al10Cu20Co2,…,…,…,6.45,30.4,11.2,34.4,3.071,0.353,14,28,0.28
Ca55Mg25Cu20,…,…,…,2.22,27.98,10.8,22.6,2.091,0.294,7.4,17,0.31
Yb62.5Zn15Mg17.5Cu5,…,…,…,6.52,26.5,10.4,19.8,1.902,0.276,9.9,31,0.21
Ca65Mg8.54Li9.96Zn16.5,…,…,…,1.96,23.4,9.0,20.2,2.244,0.307,7.4,17,0.31
Ca65Mg8.31Li9.69Zn17,…,…,…,1.98,23.2,9.0,18.5,2.056,0.291,7.4,17,0.31
Sr50Mg20Zn20Cu10,…,…,…,3.26,22.9,9.0,17.1,1.906,0.276,6.1,12,0.28
Ca20Zn20Sr20Yb20Mg20,…,…,…,3.56,22.8,8.9,17.5,1.969,0.283,7.4,17,0.31
Sr40Yb20Mg20Zn15Cu5,…,…,…,3.95,20.6,7.9,17.6,2.234,0.305,6.1,12,0.28
Sr60Mg20Zn15Cu5,…,…,…,3.04,19.9,7.8,15.3,1.972,0.283,6.1,12,0.28
Sr60Mg18Zn22,…,…,…,3.04,19.7,7.7,14.6,1.894,0.276,6.1,12,0.28
Sr60Li5Mg15Zn20,…,…,…,2.99,18.4,7.0,16.1,2.293,0.310,6.1,12,0.28
Ca20Zn20Sr20Yb20Li11Mg9,…,…,…,3.60,16.0,6.3,12.0,1.905,0.280,7.4,17,0.31
